,Ticker,Parametro Utilizado,Resultado 12 meses,Resultado 3 meses,Total de operações,Operações vencedoras,Operações perdedoras,Operações vencedoras(%),Operações Perdedoras(%),Maior DD da operação,Maior ganho da operação,Lucro Médio
2023-01-18,A1MD34.SA,-0.5,-100.32,-35.39,72,31,41,43.06,56.94,-8.86,5.07,-0.39
2023-01-18,A1MD34.SA,-0.6,-92.48,-30.85,70,31,39,44.29,55.71,-8.76,5.18,-0.34
2023-01-18,A1MD34.SA,-0.7,-87.63,-23.79,69,34,35,49.28,50.72,-8.67,5.27,-0.26
2023-01-18,A1MD34.SA,-0.8,-89.17,-24.81,68,34,34,50.0,50.0,-8.55,5.37,-0.28
2023-01-18,A1MD34.SA,-0.9,-81.86,-21.72,67,33,34,49.25,50.75,-8.45,5.48,-0.24
2023-01-18,A1MD34.SA,-1.0,-75.24,-23.1,62,30,32,48.39,51.61,-8.36,5.57,-0.26
2023-01-18,A1MD34.SA,-1.1,-71.33,-20.7,60,31,29,51.67,48.33,-8.26,5.68,-0.23
2023-01-18,A1MD34.SA,-1.2,-66.63,-19.77,56,30,26,53.57,46.43,-8.17,5.77,-0.22
2023-01-18,A1MD34.SA,-1.3,-68.16,-20.58,55,29,26,52.73,47.27,-8.05,5.76,-0.23
2023-01-18,A1MD34.SA,-1.4,-62.88,-15.37,54,28,26,51.85,48.15,-7.95,5.85,-0.17
2023-01-18,A1MD34.SA,-1.5,-60.19,-14.6,51,25,26,49.02,50.98,-7.86,5.96,-0.16
2023-01-18,A1MD34.SA,-1.6,-66.44,-20.3,47,21,26,44.68,55.32,-7.76,6.05,-0.23
2023-01-18,A1MD34.SA,-1.7,-53.95,-15.63,47,22,25,46.81,53.19,-7.67,6.16,-0.17
2023-01-18,A1MD34.SA,-1.8,-46.62,-14.23,45,20,25,44.44,55.56,-7.55,6.25,-0.16
2023-01-18,A1MD34.SA,-1.9,-53.24,-14.54,43,20,23,46.51,53.49,-7.45,6.36,-0.16
2023-01-18,A1MD34.SA,-2.0,-54.53,-17.81,41,18,23,43.9,56.1,-7.36,4.66,-0.2
2023-01-18,A1MD34.SA,-2.1,-61.39,-15.8,40,17,23,42.5,57.5,-7.26,4.77,-0.18
2023-01-18,A1MD34.SA,-2.2,-50.67,-11.8,38,18,20,47.37,52.63,-7.17,4.87,-0.13
2023-01-18,A1MD34.SA,-2.3,-46.4,-11.23,38,18,20,47.37,52.63,-7.05,4.98,-0.12
2023-01-18,A1MD34.SA,-2.4,-45.64,-15.63,34,15,19,44.12,55.88,-6.95,5.08,-0.17
2023-01-18,A1MD34.SA,-2.5,-42.88,-12.57,33,14,19,42.42,57.58,-6.86,5.16,-0.14
2023-01-18,A1MD34.SA,-2.6,-40.51,-11.28,32,14,18,43.75,56.25,-6.76,5.27,-0.13
2023-01-18,A1MD34.SA,-2.7,-40.23,-8.06,32,14,18,43.75,56.25,-6.67,5.37,-0.09
2023-01-18,A1MD34.SA,-2.8,-32.74,-4.85,32,15,17,46.88,53.12,-6.55,5.48,-0.05
2023-01-18,A1MD34.SA,-2.9,-37.57,-7.37,29,13,16,44.83,55.17,-6.45,5.58,-0.08
2023-01-18,A1MD34.SA,-3.0,-34.11,-8.89,28,12,16,42.86,57.14,-6.36,5.69,-0.1
2023-01-18,A1MD34.SA,-3.1,-34.36,-7.62,26,10,16,38.46,61.54,-6.26,5.76,-0.08
2023-01-18,A1MD34.SA,-3.2,-30.9,-8.69,25,9,16,36.0,64.0,-6.17,5.87,-0.1
2023-01-18,A1MD34.SA,-3.3,-24.92,-6.15,25,10,15,40.0,60.0,-6.05,5.97,-0.07
2023-01-18,A1MD34.SA,-3.4,-20.98,-3.63,25,10,15,40.0,60.0,-5.95,6.08,-0.04
2023-01-18,A1MD34.SA,-3.5,-25.08,-5.02,23,9,14,39.13,60.87,-5.86,6.18,-0.06
2023-01-18,A1MD34.SA,-3.6,-19.05,-2.72,23,9,14,39.13,60.87,-5.76,6.26,-0.03
2023-01-18,A1MD34.SA,-3.7,-16.29,-1.49,21,8,13,38.1,61.9,-5.67,6.37,-0.02
2023-01-18,A1MD34.SA,-3.8,-17.03,-1.51,19,6,13,31.58,68.42,-5.55,6.47,-0.02
2023-01-18,A1MD34.SA,-3.9,-16.86,-4.1,17,4,13,23.53,76.47,-5.45,6.58,-0.05
2023-01-18,A1MD34.SA,-4.0,-13.37,-2.39,17,4,13,23.53,76.47,-5.36,6.68,-0.03
2023-01-18,A1UA34.SA,-0.5,-82.39,-17.1,42,15,27,35.71,64.29,-5.62,3.93,-0.19
2023-01-18,A1UA34.SA,-0.6,-83.69,-13.82,42,16,26,38.1,61.9,-5.56,4.02,-0.15
2023-01-18,A1UA34.SA,-0.7,-80.83,-12.98,37,13,24,35.14,64.86,-5.44,4.1,-0.14
2023-01-18,A1UA34.SA,-0.8,-75.34,-11.62,34,12,22,35.29,64.71,-5.33,4.23,-0.13
2023-01-18,A1UA34.SA,-0.9,-69.02,-9.12,31,11,20,35.48,64.52,-5.27,4.32,-0.1
2023-01-18,A1UA34.SA,-1.0,-61.17,-7.18,27,9,18,33.33,66.67,-5.15,4.4,-0.08
2023-01-18,A1UA34.SA,-1.1,-55.69,-6.84,23,7,16,30.43,69.57,-5.04,4.53,-0.08
2023-01-18,A1UA34.SA,-1.2,-64.55,-13.59,22,7,15,31.82,68.18,-4.98,4.24,-0.15
2023-01-18,A1UA34.SA,-1.3,-65.76,-13.0,20,7,13,35.0,65.0,-4.86,4.36,-0.14
2023-01-18,A1UA34.SA,-1.4,-60.59,-11.06,19,7,12,36.84,63.16,-4.74,4.45,-0.12
2023-01-18,A1UA34.SA,-1.5,-54.17,-9.09,19,7,12,36.84,63.16,-4.63,4.53,-0.1
2023-01-18,A1UA34.SA,-1.6,-53.03,-11.87,18,6,12,33.33,66.67,-4.57,3.34,-0.13
2023-01-18,A1UA34.SA,-1.7,-47.23,-10.06,16,7,9,43.75,56.25,-4.45,3.45,-0.11
2023-01-18,A1UA34.SA,-1.8,-46.27,-8.5,16,7,9,43.75,56.25,-4.33,3.57,-0.09
2023-01-18,A1UA34.SA,-1.9,-45.15,-6.96,16,7,9,43.75,56.25,-4.27,3.63,-0.08
2023-01-18,A1UA34.SA,-2.0,-39.78,-5.27,15,7,8,46.67,53.33,-4.16,3.74,-0.06
2023-01-18,A1UA34.SA,-2.1,-35.85,-3.79,15,7,8,46.67,53.33,-4.04,3.86,-0.04
2023-01-18,A1UA34.SA,-2.2,-35.74,-7.12,13,5,8,38.46,61.54,-3.92,1.79,-0.08
2023-01-18,A1UA34.SA,-2.3,-31.65,-5.89,12,5,7,41.67,58.33,-3.86,1.85,-0.07
2023-01-18,A1UA34.SA,-2.4,-32.13,-4.59,12,5,7,41.67,58.33,-3.75,1.98,-0.05
2023-01-18,A1UA34.SA,-2.5,-30.46,-4.74,11,4,7,36.36,63.64,-3.63,2.04,-0.05
